입력번호,발전소명,년월,호기,황산화물기준,황산화물평균,질수산화물기준,질수산화물평균,먼지기준,먼지평균,발전소코드
371,태안,201505,8615,100,42.97,140,79.98,25,5.15,TA
372,태안,201505,8616,100,53.98,140,79.75,25,7.38,TA
373,태안,201505,8617,100,25.77,140,78.91,25,3.39,TA
374,태안,201505,8618,100,891.15,140,13.55,25,728.76,TA
375,태안,201505,861B,35,0.1,50,27.64,15,0.42,TA
376,태안,201506,8611,100,31.75,140,75.14,25,8.76,TA
377,태안,201506,8612,100,30.55,140,79.56,25,6.52,TA
378,태안,201506,8613,100,46.05,140,76.21,25,95.07,TA
379,태안,201506,8614,100,32,140,75.25,25,3.96,TA
380,태안,201506,8615,100,44.78,140,81.34,25,5.25,TA
381,태안,201506,8616,100,48.88,140,72.57,25,7.02,TA
382,태안,201506,8617,100,28.57,140,80.39,25,3.57,TA
383,태안,201506,8618,100,25.75,140,79.37,25,7.09,TA
384,태안,201506,861B,35,15.03,50,66.13,15,18.05,TA
385,태안,201507,8611,100,33.19,140,76.84,25,9.54,TA
386,태안,201507,8612,100,30.5,140,81.31,25,6.9,TA
387,태안,201507,8613,100,38.53,140,74.19,25,8.31,TA
388,태안,201507,8614,100,28.85,140,74.42,25,4.89,TA
389,태안,201507,8615,100,38.23,140,85.24,25,5.21,TA
390,태안,201507,8616,100,43.32,140,74.66,25,7.33,TA
391,태안,201507,8617,100,25.42,140,82.76,25,3.88,TA
392,태안,201507,8618,100,23.95,140,82.19,25,7.22,TA
393,태안,201507,861B,35,2.48,50,4.02,15,12.46,TA
394,태안,201508,8611,100,35.83,140,78.08,25,9.5,TA
395,태안,201508,8612,100,34.74,140,86.86,25,7.55,TA
396,태안,201508,8613,100,41.88,140,77.97,25,8.8,TA
397,태안,201508,8614,100,35.61,140,74.45,25,5.49,TA
398,태안,201508,8615,100,43.05,140,88.39,25,5.28,TA
399,태안,201508,8616,100,77.36,140,85.07,25,344.59,TA
400,태안,201508,8617,100,24.09,140,75.5,25,91.59,TA
401,태안,201508,8618,100,23.82,140,77.53,25,6.34,TA
402,태안,201508,861B,35,0,50,2.32,15,1.37,TA
403,태안,201509,8611,100,0.09,140,14.34,25,1190.95,TA
404,태안,201509,8612,100,24.12,140,86.09,25,7.87,TA
405,태안,201509,8613,100,31.52,140,79.1,25,9.67,TA
